word,numTurns
aback,4
abase,4
abate,4
abbey,4
above,4
abyss,4
acute,4
admit,3
adobe,4
adopt,3
adore,3
agape,3
agate,4
aging,4
agree,3
ahead,4
album,5
alien,3
alike,3
allow,4
aloft,3
alone,4
aloud,4
alpha,4
altar,4
alter,3
amber,3
ample,3
angry,3
antic,4
aorta,3
aphid,4
apple,4
apply,5
apron,4
aptly,3
arbor,4
argue,4
arise,4
aroma,5
aside,4
askew,4
asset,2
atoll,3
atone,4
audit,4
avail,4
avert,4
awake,6
awful,4
axiom,4
badge,4
badly,4
baker,5
banal,3
basic,4
baton,4
batty,3
bayou,4
beady,3
beefy,4
begin,4
being,4
belch,4
belie,3
belly,4
bench,3
berth,3
biome,3
birth,3
black,5
blame,4
bland,5
bleed,4
bloke,4
blown,3
bluff,4
blurb,4
blurt,4
blush,3
booby,4
boost,3
booze,6
boozy,5
bough,4
braid,4
brake,4
brave,7
break,3
briar,3
bribe,5
brine,4
bring,3
brink,4
brisk,3
buggy,5
butch,4
cacao,5
cache,4
canny,4
cargo,4
carry,5
catch,4
cater,3
caulk,4
chafe,5
champ,4
chant,3
chard,4
charm,5
cheat,3
cheek,4
chest,5
chief,4
chill,5
choke,4
chord,4
chunk,3
chute,5
cider,3
cigar,2
cinch,4
civic,3
claim,4
class,3
clean,3
click,4
cling,3
clock,4
cloth,4
clown,3
cluck,3
coast,3
colon,3
comet,4
comma,5
condo,3
conic,3
corny,5
could,4
count,3
coyly,3
cramp,4
crank,5
crass,4
crate,3
crave,6
crave,6
craze,7
crazy,6
creak,4
credo,3
crept,4
crimp,3
croak,3
cross,6
crust,4
cynic,3
daddy,5
dance,3
dandy,4
death,4
debug,4
delta,3
delve,3
denim,3
depot,3
depth,4
digit,4
dodge,3
donor,3
doubt,5
dowry,4
dozen,4
drain,3
dream,3
drink,3
drive,4
droll,3
duchy,3
dutch,4
duvet,3
dwarf,4
egret,3
eject,4
elder,3
elope,5
elude,3
email,4
enema,4
enjoy,4
epoch,4
epoxy,5
equal,5
erode,4
error,3
essay,3
evade,4
excel,4
exist,4
extra,3
exult,5
farce,4
fault,4
favor,5
feast,4
feign,4
ferry,5
fetus,5
fewer,5
field,3
fifty,4
finer,4
first,3
fishy,4
fixer,6
fjord,4
flail,4
flair,3
fleet,5
flesh,3
flick,3
fling,5
flirt,3
float,4
flock,4
flood,5
floor,4
floss,5
flout,3
flume,5
focal,4
focus,6
foggy,5
folly,4
foray,4
forge,5
forgo,5
forth,3
found,6
foyer,5
frame,4
fresh,4
frock,5
front,3
froth,3
fungi,4
gamer,3
gamma,5
gaudy,5
gauze,5
gawky,4
gecko,4
giant,3
girth,4
glass,4
glean,4
gloat,5
gloom,4
glory,5
glove,4
glyph,4
godly,4
golem,3
goner,7
goose,4
gorge,5
gouge,5
grade,4
grate,5
grave,5
great,3
greet,4
grime,5
grimy,4
gripe,3
groin,4
group,4
grove,4
growl,5
gruel,4
guild,4
gulch,3
gully,4
hairy,5
happy,5
hatch,4
havoc,5
heady,4
heath,5
heist,6
helix,4
heron,4
hinge,6
hippy,5
hoard,5
homer,6
horse,5
howdy,5
human,4
humor,4
humph,4
hunky,6
hutch,5
hyper,5
impel,3
inane,4
inane,4
inept,3
inert,4
infer,4
input,3
inter,4
ionic,3
irony,5
islet,3
itchy,4
ivory,4
jaunt,6
joust,4
judge,5
karma,4
kebab,4
khaki,4
kiosk,4
knock,4
knoll,4
koala,3
label,4
labor,3
lapel,5
lapse,3
larva,5
layer,7
leapt,3
leave,3
leery,4
lemon,3
libel,4
light,3
lilac,4
linen,5
liver,7
lofty,5
