word,numTurns
aback,4
abase,4
abate,4
abbey,4
above,4
abyss,4
acute,4
admit,3
adobe,4
adopt,3
adore,3
agape,3
agate,5
aging,4
agree,3
ahead,4
album,5
alien,3
alike,4
allow,3
aloft,4
alone,3
aloud,4
alpha,4
altar,4
alter,3
amber,3
ample,4
angry,3
antic,4
aorta,3
aphid,4
apple,3
apply,4
apron,4
aptly,3
arbor,4
argue,4
arise,4
aroma,4
aside,4
askew,3
asset,2
atoll,4
atone,4
audit,4
avail,4
avert,4
awake,5
awful,4
axiom,4
badge,4
badly,4
baker,5
banal,3
basic,4
baton,4
batty,3
bayou,4
beady,4
beefy,4
begin,4
being,4
belch,4
belie,4
belly,4
bench,3
berth,3
biome,4
birth,3
black,4
blame,4
bland,4
bleed,4
bloke,4
blown,3
bluff,4
blurb,4
blurt,4
blush,4
booby,4
boost,3
booze,5
boozy,5
bough,4
braid,4
brake,4
brave,3
break,3
briar,3
bribe,5
brine,4
bring,3
brink,4
brisk,3
buggy,5
butch,4
cacao,5
cache,4
canny,4
cargo,4
carry,3
catch,4
cater,6
caulk,4
chafe,4
champ,4
chant,3
chard,5
charm,4
cheat,4
cheek,4
chest,4
chief,4
chill,4
choke,4
chord,4
chunk,3
chute,5
cider,3
cigar,2
cinch,4
civic,3
claim,4
class,3
clean,3
click,4
cling,3
clock,5
cloth,4
clown,3
cluck,4
coast,3
colon,3
comet,4
comma,5
condo,4
conic,3
corny,3
could,4
count,3
coyly,3
cramp,4
crank,5
crass,4
crate,3
crave,5
crave,5
craze,6
crazy,5
creak,5
credo,3
crept,4
crimp,3
croak,3
cross,5
crust,3
cynic,3
daddy,4
dance,3
dandy,5
death,4
debug,4
delta,3
delve,3
denim,3
depot,3
depth,4
digit,4
dodge,3
donor,3
doubt,4
dowry,3
dozen,4
drain,3
dream,3
drink,3
drive,4
droll,4
